============================================
>>> TEST SHIFT LEFT UNIT <<<
============================================
Test 0: PASS | data=7673c4 | shift=20 | out=400000
Test 478: PASS | data=7c53c7 | shift=23 | out=800000
Test 479: PASS | data=5c8b5f | shift=18 | out=7c0000
Test 480: PASS | data=440016 | shift=13 | out=02c000
Test 481: PASS | data=bb7691 | shift=9 | out=ed2200
Test 482: PASS | data=5af3dc | shift=7 | out=79ee00
Test 483: PASS | data=8b9020 | shift=4 | out=b90200
Test 484: PASS | data=b8faf8 | shift=3 | out=c7d7c0
Test 485: PASS | data=0187a1 | shift=14 | out=e84000
Test 486: PASS | data=c6f8ad | shift=14 | out=2b4000
Test 487: PASS | data=2d1936 | shift=2 | out=b464d8
Test 488: PASS | data=2ba74b | shift=1 | out=574e96
Test 489: PASS | data=9a1848 | shift=16 | out=480000
Test 490: PASS | data=a9f528 | shift=7 | out=fa9400
Test 491: PASS | data=e7de43 | shift=21 | out=600000
Test 492: PASS | data=568320 | shift=6 | out=a0c800
Test 493: PASS | data=4b1760 | shift=2 | out=2c5d80
Test 494: PASS | data=cb2b35 | shift=8 | out=2b3500
Test 495: PASS | data=a4e299 | shift=8 | out=e29900
Test 496: PASS | data=116f04 | shift=19 | out=200000
Test 497: PASS | data=3f20d9 | shift=3 | out=f906c8
Test 498: PASS | data=ea4464 | shift=8 | out=446400
Test 499: PASS | data=84eee7 | shift=11 | out=773800
Test 500: PASS | data=c20f1c | shift=5 | out=41e380
Test 501: PASS | data=10a652 | shift=7 | out=532900
Test 502: PASS | data=d90be5 | shift=0 | out=d90be5
Test 503: PASS | data=d75437 | shift=19 | out=b80000
Test 504: PASS | data=cfc572 | shift=16 | out=720000
Test 505: PASS | data=380fae | shift=4 | out=80fae0
Test 506: PASS | data=726929 | shift=14 | out=4a4000
Test 507: PASS | data=2c3f67 | shift=5 | out=87ece0
Test 508: PASS | data=a243e4 | shift=16 | out=e40000
Test 509: PASS | data=1cc0a6 | shift=0 | out=1cc0a6
Test 510: PASS | data=86ae06 | shift=6 | out=ab8180
Test 511: PASS | data=f724bb | shift=9 | out=497600
Test 512: PASS | data=ea7dd7 | shift=9 | out=fbae00
Test 513: PASS | data=b0cd1c | shift=4 | out=0cd1c0
Test 514: PASS | data=6d05bd | shift=22 | out=400000
Test 515: PASS | data=fd153a | shift=22 | out=800000
Test 516: PASS | data=12576e | shift=20 | out=e00000
Test 517: PASS | data=789322 | shift=19 | out=100000
Test 518: PASS | data=ce0d0b | shift=3 | out=706858
Test 519: PASS | data=db3828 | shift=9 | out=705000
Test 520: PASS | data=d60065 | shift=4 | out=600650
Test 521: PASS | data=d53516 | shift=2 | out=54d458
Test 522: PASS | data=ec497e | shift=19 | out=f00000
Test 523: PASS | data=52e9b0 | shift=21 | out=000000
Test 524: PASS | data=3df8d4 | shift=11 | out=c6a000
Test 525: PASS | data=964d1b | shift=19 | out=d80000
Test 526: PASS | data=aef08f | shift=10 | out=c23c00
Test 527: PASS | data=23039a | shift=13 | out=734000
Test 528: PASS | data=fad45f | shift=12 | out=45f000
Test 529: PASS | data=46177f | shift=16 | out=7f0000
Test 530: PASS | data=49babf | shift=11 | out=d5f800
Test 531: PASS | data=8fa41b | shift=19 | out=d80000
Test 532: PASS | data=13984e | shift=14 | out=138000
Test 533: PASS | data=2a22e0 | shift=5 | out=445c00
Test 534: PASS | data=4939ae | shift=22 | out=800000
Test 535: PASS | data=fd1a2b | shift=0 | out=fd1a2b
Test 536: PASS | data=85d353 | shift=5 | out=ba6a60
Test 537: PASS | data=6c4b8f | shift=6 | out=12e3c0
Test 538: PASS | data=af29c4 | shift=18 | out=100000
Test 539: PASS | data=4d61fd | shift=19 | out=e80000
Test 540: PASS | data=7a4e83 | shift=2 | out=e93a0c
Test 541: PASS | data=b17b95 | shift=8 | out=7b9500
Test 542: PASS | data=a351a8 | shift=12 | out=1a8000
Test 543: PASS | data=72df93 | shift=12 | out=f93000
Test 544: PASS | data=264b98 | shift=5 | out=c97300
Test 545: PASS | data=cb58a3 | shift=16 | out=a30000
Test 546: PASS | data=c4ca56 | shift=15 | out=2b0000
Test 547: PASS | data=d9efd0 | shift=8 | out=efd000
Test 548: PASS | data=d5a2a5 | shift=15 | out=528000
Test 549: PASS | data=5a1fa8 | shift=22 | out=000000
Test 550: PASS | data=fadbf5 | shift=11 | out=dfa800
Test 551: PASS | data=b8ca56 | shift=14 | out=958000
Test 552: PASS | data=a44334 | shift=23 | out=000000
Test 553: PASS | data=a032c8 | shift=19 | out=400000
Test 554: PASS | data=52ea7b | shift=14 | out=9ec000
Test 555: PASS | data=c5b2b3 | shift=19 | out=980000
Test 556: PASS | data=fd0fde | shift=16 | out=de0000
Test 557: PASS | data=52bf5f | shift=15 | out=af8000
Test 558: PASS | data=c177cd | shift=16 | out=cd0000
Test 559: PASS | data=3f3af3 | shift=23 | out=800000
Test 560: PASS | data=2f399b | shift=10 | out=e66c00
Test 561: PASS | data=be5861 | shift=21 | out=200000
Test 562: PASS | data=b2b95b | shift=10 | out=e56c00
Test 563: PASS | data=d4cbf5 | shift=22 | out=400000
Test 564: PASS | data=a40a6d | shift=23 | out=800000
Test 565: PASS | data=95fd91 | shift=18 | out=440000
Test 566: PASS | data=12d26e | shift=15 | out=370000
Test 567: PASS | data=9e777f | shift=9 | out=eefe00
Test 568: PASS | data=0e2c80 | shift=10 | out=b20000
Test 569: PASS | data=436169 | shift=1 | out=86c2d2
Test 570: PASS | data=0b76ee | shift=8 | out=76ee00
Test 571: PASS | data=547df9 | shift=10 | out=f7e400
Test 572: PASS | data=ab1af0 | shift=17 | out=e00000
Test 573: PASS | data=8c9984 | shift=12 | out=984000
Test 574: PASS | data=6d8e9a | shift=10 | out=3a6800
Test 575: PASS | data=58b8a1 | shift=13 | out=142000
Test 576: PASS | data=4c8dff | shift=3 | out=646ff8
Test 577: PASS | data=55637f | shift=15 | out=bf8000
Test 578: PASS | data=15e911 | shift=17 | out=220000
Test 579: PASS | data=6b3be4 | shift=22 | out=000000
Test 580: PASS | data=88ecba | shift=4 | out=8ecba0
Test 581: PASS | data=21e4e1 | shift=6 | out=793840
Test 582: PASS | data=659ca3 | shift=2 | out=96728c
Test 583: PASS | data=bdb9d3 | shift=13 | out=3a6000
Test 584: PASS | data=ac5191 | shift=14 | out=644000
Test 585: PASS | data=3d9cdc | shift=22 | out=000000
Test 586: PASS | data=8fe930 | shift=4 | out=fe9300
Test 587: PASS | data=4aaca5 | shift=17 | out=4a0000
Test 588: PASS | data=aecfa1 | shift=2 | out=bb3e84
Test 589: PASS | data=f2ecba | shift=2 | out=cbb2e8
Test 590: PASS | data=ec63ef | shift=5 | out=8c7de0
Test 591: PASS | data=40da58 | shift=4 | out=0da580
Test 592: PASS | data=53791e | shift=21 | out=c00000
Test 593: PASS | data=370f17 | shift=23 | out=800000
Test 594: PASS | data=54d705 | shift=18 | out=140000
Test 595: PASS | data=eca719 | shift=3 | out=6538c8
Test 596: PASS | data=d2fc0d | shift=10 | out=f03400
Test 597: PASS | data=a7de0e | shift=11 | out=f07000
Test 598: PASS | data=ebb8be | shift=10 | out=e2f800
Test 599: PASS | data=ea7c25 | shift=19 | out=280000
Test 600: PASS | data=49ce72 | shift=8 | out=ce7200
Test 601: PASS | data=e6599e | shift=17 | out=3c0000
Test 602: PASS | data=b85f9e | shift=18 | out=780000
Test 603: PASS | data=aa11af | shift=15 | out=d78000
Test 604: PASS | data=3ef4bf | shift=3 | out=f7a5f8
Test 605: PASS | data=75ee43 | shift=15 | out=218000
Test 606: PASS | data=2d5803 | shift=2 | out=b5600c
Test 607: PASS | data=7536aa | shift=18 | out=a80000
Test 608: PASS | data=95ea74 | shift=13 | out=4e8000
Test 609: PASS | data=a91105 | shift=14 | out=414000
Test 610: PASS | data=ef1bb6 | shift=11 | out=ddb000
Test 611: PASS | data=276767 | shift=5 | out=ecece0
Test 612: PASS | data=bf89d1 | shift=12 | out=9d1000
Test 613: PASS | data=9423d5 | shift=2 | out=508f54
Test 614: PASS | data=392349 | shift=23 | out=800000
Test 615: PASS | data=733cdf | shift=15 | out=6f8000
Test 616: PASS | data=36dbd0 | shift=15 | out=e80000
Test 617: PASS | data=9d89ab | shift=19 | out=580000
Test 618: PASS | data=c8d30a | shift=1 | out=91a614
Test 619: PASS | data=442da5 | shift=23 | out=800000
Test 620: PASS | data=b42f6f | shift=0 | out=b42f6f
Test 621: PASS | data=a5e8fc | shift=7 | out=f47e00
Test 622: PASS | data=674702 | shift=13 | out=e04000
Test 623: PASS | data=8f7b7d | shift=23 | out=800000
Test 624: PASS | data=fbf5b4 | shift=20 | out=400000
Test 625: PASS | data=6f4990 | shift=17 | out=200000
Test 626: PASS | data=afd427 | shift=0 | out=afd427
Test 627: PASS | data=882302 | shift=5 | out=046040
Test 628: PASS | data=e8dd89 | shift=14 | out=624000
Test 629: PASS | data=f2a1ae | shift=3 | out=950d70
Test 630: PASS | data=d53632 | shift=13 | out=c64000
Test 631: PASS | data=8ea691 | shift=20 | out=100000
Test 632: PASS | data=ecc9e9 | shift=9 | out=93d200
Test 633: PASS | data=177491 | shift=8 | out=749100
Test 634: PASS | data=384b27 | shift=16 | out=270000
Test 635: PASS | data=2a7850 | shift=0 | out=2a7850
Test 636: PASS | data=88c20a | shift=11 | out=105000
Test 637: PASS | data=e143c8 | shift=11 | out=1e4000
Test 638: PASS | data=8974a8 | shift=15 | out=540000
Test 639: PASS | data=006d1e | shift=11 | out=68f000
Test 640: PASS | data=30a94b | shift=0 | out=30a94b
Test 641: PASS | data=1ad80c | shift=16 | out=0c0000
Test 642: PASS | data=e7e16f | shift=18 | out=bc0000
Test 643: PASS | data=c30556 | shift=4 | out=305560
Test 644: PASS | data=5b2c12 | shift=23 | out=000000
Test 645: PASS | data=92c182 | shift=20 | out=200000
Test 646: PASS | data=a1c186 | shift=5 | out=3830c0
Test 647: PASS | data=ecff84 | shift=7 | out=7fc200
Test 648: PASS | data=09535c | shift=4 | out=9535c0
Test 649: PASS | data=3121e4 | shift=15 | out=f20000
Test 650: PASS | data=8ceb78 | shift=9 | out=d6f000
Test 651: PASS | data=6003f7 | shift=6 | out=00fdc0
Test 652: PASS | data=3f4e22 | shift=12 | out=e22000
Test 653: PASS | data=6eb79c | shift=8 | out=b79c00
Test 654: PASS | data=7cd1df | shift=12 | out=1df000
Test 655: PASS | data=d62c8e | shift=5 | out=c591c0
Test 656: PASS | data=887c60 | shift=14 | out=180000
Test 657: PASS | data=045d12 | shift=19 | out=900000
Test 658: PASS | data=9987bb | shift=18 | out=ec0000
Test 659: PASS | data=3450fa | shift=17 | out=f40000
Test 660: PASS | data=5c3657 | shift=13 | out=cae000
Test 661: PASS | data=91817e | shift=5 | out=302fc0
Test 662: PASS | data=deff20 | shift=6 | out=bfc800
Test 663: PASS | data=00895d | shift=19 | out=e80000
Test 664: PASS | data=4419f5 | shift=12 | out=9f5000
Test 665: PASS | data=65b5ed | shift=19 | out=680000
Test 666: PASS | data=e0375b | shift=2 | out=80dd6c
Test 667: PASS | data=8b83fd | shift=18 | out=f40000
Test 668: PASS | data=74fc02 | shift=21 | out=400000
Test 669: PASS | data=c27088 | shift=20 | out=800000
Test 670: PASS | data=169383 | shift=13 | out=706000
Test 671: PASS | data=ddbe82 | shift=5 | out=b7d040
Test 672: PASS | data=b5878f | shift=5 | out=b0f1e0
Test 673: PASS | data=0e8f55 | shift=8 | out=8f5500
Test 674: PASS | data=13d960 | shift=23 | out=000000
Test 675: PASS | data=a0d12a | shift=18 | out=a80000
Test 676: PASS | data=9fdfe1 | shift=18 | out=840000
Test 677: PASS | data=0d8197 | shift=13 | out=32e000
Test 678: PASS | data=11b8db | shift=6 | out=6e36c0
Test 679: PASS | data=92cf19 | shift=4 | out=2cf190
Test 680: PASS | data=ed52e7 | shift=1 | out=daa5ce
Test 681: PASS | data=97d0b8 | shift=9 | out=a17000
Test 682: PASS | data=062243 | shift=2 | out=18890c
Test 683: PASS | data=ae4076 | shift=18 | out=d80000
Test 684: PASS | data=c17fdd | shift=6 | out=5ff740
Test 685: PASS | data=4a81b6 | shift=22 | out=800000
Test 686: PASS | data=933bc6 | shift=8 | out=3bc600
Test 687: PASS | data=2594ae | shift=16 | out=ae0000
Test 688: PASS | data=e1e89d | shift=19 | out=e80000
Test 689: PASS | data=a724d7 | shift=23 | out=800000
Test 690: PASS | data=bb0138 | shift=21 | out=000000
Test 691: PASS | data=d46cf5 | shift=6 | out=1b3d40
Test 692: PASS | data=33ac72 | shift=14 | out=1c8000
Test 693: PASS | data=aa5950 | shift=17 | out=a00000
Test 694: PASS | data=96e789 | shift=21 | out=200000
Test 695: PASS | data=5ae9f0 | shift=16 | out=f00000
Test 696: PASS | data=78c4fa | shift=9 | out=89f400
Test 697: PASS | data=66d650 | shift=14 | out=940000
Test 698: PASS | data=523f32 | shift=20 | out=200000
Test 699: PASS | data=6da9fa | shift=8 | out=a9fa00
Test 700: PASS | data=c44d9a | shift=4 | out=44d9a0
Test 701: PASS | data=f84660 | shift=23 | out=000000
Test 702: PASS | data=8fd7f2 | shift=12 | out=7f2000
Test 703: PASS | data=50c186 | shift=22 | out=800000
Test 704: PASS | data=1010df | shift=0 | out=1010df
Test 705: PASS | data=9d46a9 | shift=21 | out=200000
Test 706: PASS | data=3c1d04 | shift=5 | out=83a080
Test 707: PASS | data=6e51e7 | shift=13 | out=3ce000
Test 708: PASS | data=f7ebe7 | shift=16 | out=e70000
Test 709: PASS | data=e82fef | shift=17 | out=de0000
Test 710: PASS | data=37c6bd | shift=21 | out=a00000
Test 711: PASS | data=dafa58 | shift=10 | out=e96000
Test 712: PASS | data=dc2dc9 | shift=17 | out=920000
Test 713: PASS | data=042c3d | shift=5 | out=8587a0
Test 714: PASS | data=e12960 | shift=6 | out=4a5800
Test 715: PASS | data=e5bd97 | shift=9 | out=7b2e00
Test 716: PASS | data=9717a4 | shift=13 | out=f48000
Test 717: PASS | data=877f39 | shift=4 | out=77f390
Test 718: PASS | data=bf9477 | shift=17 | out=ee0000
Test 719: PASS | data=a2f389 | shift=21 | out=200000
Test 720: PASS | data=8cf5f4 | shift=8 | out=f5f400
Test 721: PASS | data=3e034d | shift=10 | out=0d3400
Test 722: PASS | data=d5ae9e | shift=13 | out=d3c000
Test 723: PASS | data=e91c13 | shift=17 | out=260000
Test 724: PASS | data=98acbd | shift=19 | out=e80000
Test 725: PASS | data=245187 | shift=16 | out=870000
Test 726: PASS | data=fd17fa | shift=16 | out=fa0000
Test 727: PASS | data=cf3f5a | shift=11 | out=fad000
Test 728: PASS | data=300146 | shift=3 | out=800a30
Test 729: PASS | data=5b57e9 | shift=22 | out=400000
Test 730: PASS | data=43315d | shift=19 | out=e80000
Test 731: PASS | data=139f13 | shift=16 | out=130000
Test 732: PASS | data=d6fddf | shift=5 | out=dfbbe0
Test 733: PASS | data=a10df7 | shift=21 | out=e00000
Test 734: PASS | data=e6ed25 | shift=13 | out=a4a000
Test 735: PASS | data=b64ffe | shift=20 | out=e00000
Test 736: PASS | data=1af749 | shift=7 | out=7ba480
Test 737: PASS | data=0c34a4 | shift=17 | out=480000
Test 738: PASS | data=4965a5 | shift=16 | out=a50000
Test 739: PASS | data=c25f45 | shift=7 | out=2fa280
Test 740: PASS | data=8cbf9b | shift=22 | out=c00000
Test 741: PASS | data=e0eb98 | shift=6 | out=3ae600
Test 742: PASS | data=1e406a | shift=11 | out=035000
Test 743: PASS | data=0339d8 | shift=19 | out=c00000
Test 744: PASS | data=7f5b18 | shift=19 | out=c00000
Test 745: PASS | data=3c821c | shift=10 | out=087000
Test 746: PASS | data=a304bc | shift=1 | out=460978
Test 747: PASS | data=7f9b86 | shift=10 | out=6e1800
Test 748: PASS | data=caf305 | shift=2 | out=2bcc14
Test 749: PASS | data=6a3e28 | shift=22 | out=000000
Test 750: PASS | data=bc1c74 | shift=19 | out=a00000
Test 751: PASS | data=5cc822 | shift=18 | out=880000
Test 752: PASS | data=75da4d | shift=5 | out=bb49a0
Test 753: PASS | data=a79dca | shift=6 | out=e77280
Test 754: PASS | data=ab6bed | shift=22 | out=400000
Test 755: PASS | data=ce130b | shift=22 | out=c00000
Test 756: PASS | data=a186e0 | shift=3 | out=0c3700
Test 757: PASS | data=4ae0de | shift=13 | out=1bc000
Test 758: PASS | data=39dfda | shift=2 | out=e77f68
Test 759: PASS | data=7902ec | shift=9 | out=05d800
Test 760: PASS | data=d3d148 | shift=19 | out=400000
Test 761: PASS | data=ee0edf | shift=16 | out=df0000
Test 762: PASS | data=f6a54b | shift=1 | out=ed4a96
Test 763: PASS | data=92dd84 | shift=20 | out=400000
Test 764: PASS | data=663f2e | shift=4 | out=63f2e0
Test 765: PASS | data=1a75d7 | shift=22 | out=c00000
Test 766: PASS | data=4d0709 | shift=0 | out=4d0709
Test 767: PASS | data=f28c4b | shift=10 | out=312c00
Test 768: PASS | data=6ed923 | shift=8 | out=d92300
Test 769: PASS | data=da5a67 | shift=3 | out=d2d338
Test 770: PASS | data=f32740 | shift=7 | out=93a000
Test 771: PASS | data=99f93b | shift=0 | out=99f93b
Test 772: PASS | data=60ae77 | shift=8 | out=ae7700
Test 773: PASS | data=d29f64 | shift=18 | out=900000
Test 774: PASS | data=3f68f4 | shift=5 | out=ed1e80
Test 775: PASS | data=32eb77 | shift=4 | out=2eb770
Test 776: PASS | data=d27cca | shift=23 | out=000000
Test 777: PASS | data=556288 | shift=4 | out=562880
Test 778: PASS | data=cc7bee | shift=6 | out=1efb80
Test 779: PASS | data=24899a | shift=0 | out=24899a
Test 780: PASS | data=0b814f | shift=20 | out=f00000
Test 781: PASS | data=ab8583 | shift=14 | out=60c000
Test 782: PASS | data=aff06d | shift=12 | out=06d000
Test 783: PASS | data=7996b5 | shift=3 | out=ccb5a8
Test 784: PASS | data=6d4b36 | shift=21 | out=c00000
Test 785: PASS | data=6c7911 | shift=15 | out=888000
Test 786: PASS | data=db45ef | shift=17 | out=de0000
Test 787: PASS | data=665b33 | shift=0 | out=665b33
Test 788: PASS | data=ed6c9c | shift=18 | out=700000
Test 789: PASS | data=12f239 | shift=14 | out=8e4000
Test 790: PASS | data=0873fc | shift=1 | out=10e7f8
Test 791: PASS | data=1e3a75 | shift=13 | out=4ea000
Test 792: PASS | data=ec0d64 | shift=0 | out=ec0d64
Test 793: PASS | data=fa505a | shift=9 | out=a0b400
Test 794: PASS | data=09cfff | shift=13 | out=ffe000
Test 795: PASS | data=ae9bef | shift=0 | out=ae9bef
Test 796: PASS | data=85dab7 | shift=23 | out=800000
Test 797: PASS | data=5026da | shift=15 | out=6d0000
Test 798: PASS | data=689c89 | shift=12 | out=c89000
Test 799: PASS | data=614752 | shift=14 | out=d48000
Test 800: PASS | data=eef334 | shift=23 | out=000000
Test 801: PASS | data=0d8dc2 | shift=17 | out=840000
Test 802: PASS | data=2ac279 | shift=22 | out=400000
Test 803: PASS | data=bd903b | shift=13 | out=076000
Test 804: PASS | data=1f361f | shift=22 | out=c00000
Test 805: PASS | data=5f1e62 | shift=18 | out=880000
Test 806: PASS | data=a4e851 | shift=4 | out=4e8510
Test 807: PASS | data=f9882a | shift=3 | out=cc4150
Test 808: PASS | data=96d106 | shift=10 | out=441800
Test 809: PASS | data=6de126 | shift=23 | out=000000
Test 810: PASS | data=3349dc | shift=20 | out=c00000
Test 811: PASS | data=c5126a | shift=12 | out=26a000
Test 812: PASS | data=dd6e49 | shift=5 | out=adc920
Test 813: PASS | data=225630 | shift=3 | out=12b180
Test 814: PASS | data=5a53eb | shift=23 | out=800000
Test 815: PASS | data=0faf93 | shift=22 | out=c00000
Test 816: PASS | data=49b500 | shift=22 | out=000000
Test 817: PASS | data=31751a | shift=17 | out=340000
Test 818: PASS | data=607445 | shift=16 | out=450000
Test 819: PASS | data=794fa9 | shift=22 | out=400000
Test 820: PASS | data=352b8c | shift=3 | out=a95c60
Test 821: PASS | data=4847e6 | shift=0 | out=4847e6
Test 822: PASS | data=9e90e8 | shift=3 | out=f48740
Test 823: PASS | data=44adc3 | shift=8 | out=adc300
Test 824: PASS | data=d6305f | shift=5 | out=c60be0
Test 825: PASS | data=d4b9bf | shift=0 | out=d4b9bf
Test 826: PASS | data=b8b97f | shift=14 | out=5fc000
Test 827: PASS | data=f0cbf5 | shift=11 | out=5fa800
Test 828: PASS | data=c06aa1 | shift=16 | out=a10000
Test 829: PASS | data=79603f | shift=9 | out=c07e00
Test 830: PASS | data=681600 | shift=2 | out=a05800
Test 831: PASS | data=16461a | shift=22 | out=800000
Test 832: PASS | data=cf6b6f | shift=14 | out=dbc000
Test 833: PASS | data=226c8a | shift=3 | out=136450
Test 834: PASS | data=989f2b | shift=9 | out=3e5600
Test 835: PASS | data=858d38 | shift=7 | out=c69c00
Test 836: PASS | data=444345 | shift=15 | out=a28000
Test 837: PASS | data=e1a092 | shift=6 | out=682480
Test 838: PASS | data=a7c8b3 | shift=20 | out=300000
Test 839: PASS | data=56dec5 | shift=22 | out=400000
Test 840: PASS | data=0a13ac | shift=16 | out=ac0000
Test 841: PASS | data=7f0967 | shift=8 | out=096700
Test 842: PASS | data=0ae8a6 | shift=20 | out=600000
Test 843: PASS | data=249bb3 | shift=23 | out=800000
Test 844: PASS | data=1e178f | shift=10 | out=5e3c00
Test 845: PASS | data=7d3b9c | shift=9 | out=773800
Test 846: PASS | data=7a30cd | shift=20 | out=d00000
Test 847: PASS | data=eb6ce0 | shift=3 | out=5b6700
Test 848: PASS | data=d5e2c9 | shift=4 | out=5e2c90
Test 849: PASS | data=0b708d | shift=9 | out=e11a00
Test 850: PASS | data=5fb87c | shift=0 | out=5fb87c
Test 851: PASS | data=d11183 | shift=18 | out=0c0000
Test 852: PASS | data=ad5565 | shift=16 | out=650000
Test 853: PASS | data=c26859 | shift=18 | out=640000
Test 854: PASS | data=43139f | shift=20 | out=f00000
Test 855: PASS | data=740782 | shift=17 | out=040000
Test 856: PASS | data=9fbdd0 | shift=14 | out=740000
Test 857: PASS | data=ea25f3 | shift=23 | out=800000
Test 858: PASS | data=815706 | shift=12 | out=706000
Test 859: PASS | data=8157d3 | shift=9 | out=afa600
Test 860: PASS | data=3d8bad | shift=1 | out=7b175a
Test 861: PASS | data=9e1bf2 | shift=11 | out=df9000
Test 862: PASS | data=f899a3 | shift=22 | out=c00000
Test 863: PASS | data=0fd01f | shift=7 | out=e80f80
Test 864: PASS | data=ba954f | shift=18 | out=3c0000
Test 865: PASS | data=56e1f0 | shift=14 | out=7c0000
Test 866: PASS | data=ed2ac8 | shift=15 | out=640000
Test 867: PASS | data=68c5b4 | shift=21 | out=800000
Test 868: PASS | data=0988df | shift=12 | out=8df000
Test 869: PASS | data=62297f | shift=3 | out=114bf8
Test 870: PASS | data=856453 | shift=0 | out=856453
Test 871: PASS | data=7a3a49 | shift=4 | out=a3a490
Test 872: PASS | data=064c0f | shift=22 | out=c00000
Test 873: PASS | data=234f46 | shift=2 | out=8d3d18
Test 874: PASS | data=d88813 | shift=16 | out=130000
Test 875: PASS | data=8f202b | shift=12 | out=02b000
Test 876: PASS | data=e5f8e4 | shift=12 | out=8e4000
Test 877: PASS | data=46ae85 | shift=22 | out=400000
Test 878: PASS | data=552c15 | shift=17 | out=2a0000
Test 879: PASS | data=da53ef | shift=6 | out=94fbc0
Test 880: PASS | data=65ba4f | shift=15 | out=278000
Test 881: PASS | data=7ecc7a | shift=1 | out=fd98f4
Test 882: PASS | data=08efa4 | shift=1 | out=11df48
Test 883: PASS | data=b778ec | shift=10 | out=e3b000
Test 884: PASS | data=c32720 | shift=11 | out=390000
Test 885: PASS | data=bec0ec | shift=2 | out=fb03b0
Test 886: PASS | data=3ba00d | shift=0 | out=3ba00d
Test 887: PASS | data=9a22ba | shift=15 | out=5d0000
Test 888: PASS | data=67ecad | shift=15 | out=568000
Test 889: PASS | data=7356ad | shift=2 | out=cd5ab4
Test 890: PASS | data=1650e0 | shift=16 | out=e00000
Test 891: PASS | data=25c818 | shift=8 | out=c81800
Test 892: PASS | data=c76958 | shift=10 | out=a56000
Test 893: PASS | data=5500b1 | shift=5 | out=a01620
Test 894: PASS | data=ced9df | shift=0 | out=ced9df
Test 895: PASS | data=490020 | shift=0 | out=490020
Test 896: PASS | data=8a82fa | shift=7 | out=417d00
Test 897: PASS | data=0a1641 | shift=8 | out=164100
Test 898: PASS | data=8ef3cb | shift=18 | out=2c0000
Test 899: PASS | data=f4abe4 | shift=12 | out=be4000
Test 900: PASS | data=ec45e0 | shift=21 | out=000000
Test 901: PASS | data=24754e | shift=3 | out=23aa70
Test 902: PASS | data=b45c9e | shift=9 | out=b93c00
Test 903: PASS | data=aca2fc | shift=23 | out=000000
Test 904: PASS | data=b476d7 | shift=11 | out=b6b800
Test 905: PASS | data=3e477a | shift=8 | out=477a00
Test 906: PASS | data=d31aaf | shift=12 | out=aaf000
Test 907: PASS | data=d221ec | shift=6 | out=887b00
Test 908: PASS | data=e56dcc | shift=18 | out=300000
Test 909: PASS | data=9468fc | shift=14 | out=3f0000
Test 910: PASS | data=4d6d65 | shift=17 | out=ca0000
Test 911: PASS | data=640534 | shift=18 | out=d00000
Test 912: PASS | data=d3d05a | shift=10 | out=416800
Test 913: PASS | data=53b09d | shift=18 | out=740000
Test 914: PASS | data=c66490 | shift=12 | out=490000
Test 915: PASS | data=4759fc | shift=9 | out=b3f800
Test 916: PASS | data=3c47b8 | shift=23 | out=000000
Test 917: PASS | data=c50f98 | shift=0 | out=c50f98
Test 918: PASS | data=b28ec7 | shift=8 | out=8ec700
Test 919: PASS | data=916dfc | shift=14 | out=7f0000
Test 920: PASS | data=c8de98 | shift=17 | out=300000
Test 921: PASS | data=c8df8e | shift=18 | out=380000
Test 922: PASS | data=efff24 | shift=6 | out=ffc900
Test 923: PASS | data=c854e1 | shift=2 | out=215384
Test 924: PASS | data=887470 | shift=14 | out=1c0000
Test 925: PASS | data=0d93e8 | shift=11 | out=9f4000
Test 926: PASS | data=8204b7 | shift=0 | out=8204b7
Test 927: PASS | data=d6e021 | shift=8 | out=e02100
Test 928: PASS | data=31da8e | shift=6 | out=76a380
Test 929: PASS | data=9118a8 | shift=2 | out=4462a0
Test 930: PASS | data=173942 | shift=16 | out=420000
Test 931: PASS | data=543d4d | shift=2 | out=50f534
Test 932: PASS | data=a13d01 | shift=11 | out=e80800
Test 933: PASS | data=fec699 | shift=16 | out=990000
Test 934: PASS | data=9ecb99 | shift=1 | out=3d9732
Test 935: PASS | data=68c9cb | shift=19 | out=580000
Test 936: PASS | data=da3254 | shift=19 | out=a00000
Test 937: PASS | data=868efb | shift=18 | out=ec0000
Test 938: PASS | data=462979 | shift=4 | out=629790
Test 939: PASS | data=18bbbe | shift=20 | out=e00000
Test 940: PASS | data=5a2f91 | shift=17 | out=220000
Test 941: PASS | data=e11ae5 | shift=22 | out=400000
Test 942: PASS | data=cd3340 | shift=5 | out=a66800
Test 943: PASS | data=6ebf59 | shift=18 | out=640000
Test 944: PASS | data=f7c052 | shift=17 | out=a40000
Test 945: PASS | data=0bca8e | shift=19 | out=700000
Test 946: PASS | data=8b09fe | shift=2 | out=2c27f8
Test 947: PASS | data=946edb | shift=3 | out=a376d8
Test 948: PASS | data=9cea82 | shift=0 | out=9cea82
Test 949: PASS | data=8bba1e | shift=23 | out=000000
Test 950: PASS | data=1006a1 | shift=17 | out=420000
Test 951: PASS | data=367266 | shift=14 | out=998000
Test 952: PASS | data=88ae7d | shift=23 | out=800000
Test 953: PASS | data=c5ff0f | shift=20 | out=f00000
Test 954: PASS | data=7f80a6 | shift=0 | out=7f80a6
Test 955: PASS | data=43f0ad | shift=7 | out=f85680
Test 956: PASS | data=13559e | shift=20 | out=e00000
Test 957: PASS | data=0ec163 | shift=11 | out=0b1800
