============================================
>>> TEST SUM UNIT (28-bit) <<<
============================================
Test 0: PASS | A=97673c4 | B=b1e5d9c | Cin=0 | SUM=494d160 | Cout=1
Test 281: PASS | A=84c801d | B=a71fe87 | Cin=0 | SUM=2be7ea4 | Cout=1
Test 282: PASS | A=6b0ecaa | B=6b4ca36 | Cin=1 | SUM=d65b6e1 | Cout=0
Test 283: PASS | A=5187bbc | B=f91812c | Cin=0 | SUM=4a9fce8 | Cout=1
Test 284: PASS | A=94bc5a5 | B=63e407a | Cin=0 | SUM=f8a061f | Cout=0
Test 285: PASS | A=4f2c844 | B=0548604 | Cin=1 | SUM=5474e49 | Cout=0
Test 286: PASS | A=91af1f7 | B=1305456 | Cin=1 | SUM=a4b464e | Cout=0
Test 287: PASS | A=1ca0f84 | B=55c874e | Cin=0 | SUM=72696d2 | Cout=0
Test 288: PASS | A=593a4de | B=117e02c | Cin=1 | SUM=6ab850b | Cout=0
Test 289: PASS | A=ee76eb7 | B=10b5cee | Cin=1 | SUM=ff2cba6 | Cout=0
Test 290: PASS | A=6156a2e | B=c7cef65 | Cin=1 | SUM=2925994 | Cout=1
Test 291: PASS | A=46472ae | B=30aabeb | Cin=0 | SUM=76f1e99 | Cout=0
Test 292: PASS | A=f59dd23 | B=d9753a4 | Cin=1 | SUM=cf130c8 | Cout=1
Test 293: PASS | A=3fc0494 | B=5dbf23c | Cin=0 | SUM=9d7f6d0 | Cout=0
Test 294: PASS | A=74a7790 | B=12b4e47 | Cin=1 | SUM=875c5d8 | Cout=0
Test 295: PASS | A=8cbc054 | B=7b3f703 | Cin=1 | SUM=07fb758 | Cout=1
Test 296: PASS | A=bcbf886 | B=db62f54 | Cin=0 | SUM=98227da | Cout=1
Test 297: PASS | A=fe7d7a3 | B=53e1f4b | Cin=1 | SUM=525f6ef | Cout=1
Test 298: PASS | A=602b5f7 | B=6ea47a6 | Cin=1 | SUM=cecfd9e | Cout=0
Test 299: PASS | A=dd15a3a | B=9013d81 | Cin=0 | SUM=6d297bb | Cout=1
Test 300: PASS | A=760e758 | B=0fc9e12 | Cin=0 | SUM=85d856a | Cout=0
Test 301: PASS | A=81c8971 | B=a233ee4 | Cin=1 | SUM=23fc856 | Cout=1
Test 302: PASS | A=87f740f | B=1919e3c | Cin=1 | SUM=a11124c | Cout=0
Test 303: PASS | A=2d63e91 | B=524c94f | Cin=1 | SUM=7fb07e1 | Cout=0
Test 304: PASS | A=8b4050b | B=89f7010 | Cin=0 | SUM=153751b | Cout=1
Test 305: PASS | A=6137d40 | B=405b789 | Cin=1 | SUM=a1934ca | Cout=0
Test 306: PASS | A=4d40bf9 | B=ef45fbd | Cin=0 | SUM=3c86bb6 | Cout=1
Test 307: PASS | A=a00937c | B=6c7d780 | Cin=1 | SUM=0c86afd | Cout=1
Test 308: PASS | A=7d562ca | B=6b1554c | Cin=0 | SUM=e86b816 | Cout=0
Test 309: PASS | A=2be1b5d | B=12aa6f2 | Cin=0 | SUM=3e8c24f | Cout=0
Test 310: PASS | A=ac81844 | B=2895451 | Cin=1 | SUM=d516c96 | Cout=0
Test 311: PASS | A=8342540 | B=1d7a5e6 | Cin=1 | SUM=a0bcb27 | Cout=0
Test 312: PASS | A=c6cc0b7 | B=5e20f58 | Cin=1 | SUM=24ed010 | Cout=1
Test 313: PASS | A=106ab6e | B=79d1ff5 | Cin=0 | SUM=8a3cb63 | Cout=0
Test 314: PASS | A=1500e62 | B=226c098 | Cin=1 | SUM=376cefb | Cout=0
Test 315: PASS | A=b2c7018 | B=b3ffef1 | Cin=0 | SUM=66c6f09 | Cout=1
Test 316: PASS | A=2a5de67 | B=03e709c | Cin=0 | SUM=2e44f03 | Cout=0
Test 317: PASS | A=74f65be | B=2600919 | Cin=0 | SUM=9af6ed7 | Cout=0
Test 318: PASS | A=3f5cc41 | B=186f757 | Cin=1 | SUM=57cc399 | Cout=0
Test 319: PASS | A=46ebbd7 | B=95c8b5f | Cin=0 | SUM=dcb4736 | Cout=0
Test 320: PASS | A=8440016 | B=5f4e945 | Cin=1 | SUM=e38e95c | Cout=0
Test 321: PASS | A=e33ec61 | B=55af3dc | Cin=1 | SUM=38ee03e | Cout=1
Test 322: PASS | A=68b9020 | B=42cba14 | Cin=0 | SUM=ab84a34 | Cout=0
Test 323: PASS | A=4485acb | B=00187a1 | Cin=0 | SUM=449e26c | Cout=0
Test 324: PASS | A=3c6f8ad | B=274a15e | Cin=0 | SUM=63b9a0b | Cout=0
Test 325: PASS | A=105ed62 | B=42ba74b | Cin=1 | SUM=53194ae | Cout=0
Test 326: PASS | A=29a1848 | B=d8be8e8 | Cin=0 | SUM=0260130 | Cout=1
Test 327: PASS | A=1ff6307 | B=5e7de43 | Cin=1 | SUM=7e7414b | Cout=0
Test 328: PASS | A=b568320 | B=5b9a6a6 | Cin=0 | SUM=11029c6 | Cout=1
Test 329: PASS | A=8a550c2 | B=ecb2b35 | Cin=0 | SUM=7707bf7 | Cout=1
Test 330: PASS | A=8a4e299 | B=d640b18 | Cin=0 | SUM=608edb1 | Cout=1
Test 331: PASS | A=0e6b483 | B=43f20d9 | Cin=1 | SUM=525d55d | Cout=0
Test 332: PASS | A=fea4464 | B=ee01c98 | Cin=1 | SUM=eca60fd | Cout=1
Test 333: PASS | A=fa87343 | B=0c20f1c | Cin=1 | SUM=06a8260 | Cout=1
Test 334: PASS | A=910a652 | B=bf1bf6f | Cin=1 | SUM=50265c2 | Cout=1
Test 335: PASS | A=6bafc48 | B=cd75437 | Cin=1 | SUM=3925080 | Cout=1
Test 336: PASS | A=7cfc572 | B=2c01738 | Cin=0 | SUM=a8fdcaa | Cout=0
Test 337: PASS | A=8722f3c | B=3726929 | Cin=0 | SUM=be49865 | Cout=0
Test 338: PASS | A=42c3f67 | B=b1f58a5 | Cin=0 | SUM=f4b980c | Cout=0
Test 339: PASS | A=985efb0 | B=11cc0a6 | Cin=0 | SUM=aa2b056 | Cout=0
Test 340: PASS | A=b86ae06 | B=edc873e | Cin=1 | SUM=a633545 | Cout=1
Test 341: PASS | A=b4f20d9 | B=bea7dd7 | Cin=1 | SUM=7399eb1 | Cout=1
Test 342: PASS | A=8b0cd1c | B=07b9b14 | Cin=1 | SUM=92c6831 | Cout=0
Test 343: PASS | A=33306ee | B=ffd153a | Cin=0 | SUM=3301c28 | Cout=1
Test 344: PASS | A=c12576e | B=e68cbe4 | Cin=0 | SUM=a7b2352 | Cout=1
Test 345: PASS | A=d8c365b | B=2ce0d0b | Cin=1 | SUM=05a4367 | Cout=1
Test 346: PASS | A=0db3828 | B=8593f41 | Cin=1 | SUM=934776a | Cout=0
Test 347: PASS | A=8e732ac | B=bd53516 | Cin=0 | SUM=4bc67c2 | Cout=1
Test 348: PASS | A=4ec497e | B=806464b | Cin=0 | SUM=cf28fc9 | Cout=0
Test 349: PASS | A=76dc92d | B=d3df8d4 | Cin=1 | SUM=4abc202 | Cout=1
Test 350: PASS | A=d964d1b | B=b2a9113 | Cin=1 | SUM=8c0de2f | Cout=1
Test 351: PASS | A=0539cba | B=423039a | Cin=1 | SUM=476a055 | Cout=0
Test 352: PASS | A=ffad45f | B=a8ecf5c | Cin=1 | SUM=a89a3bc | Cout=1
Test 353: PASS | A=1461898 | B=349babf | Cin=1 | SUM=48fd358 | Cout=0
Test 354: PASS | A=38fa41b | B=df227eb | Cin=0 | SUM=181cc06 | Cout=1
Test 355: PASS | A=fb53b86 | B=12a22e0 | Cin=1 | SUM=0df5e67 | Cout=1
Test 356: PASS | A=64939ae | B=dbe64ce | Cin=1 | SUM=4079e7d | Cout=1
Test 357: PASS | A=ab02408 | B=485d353 | Cin=1 | SUM=f35f75c | Cout=0
Test 358: PASS | A=a6c4b8f | B=92c02a6 | Cin=0 | SUM=3984e35 | Cout=1
Test 359: PASS | A=3fa1d8a | B=04d61fd | Cin=1 | SUM=4477f88 | Cout=0
Test 360: PASS | A=27a4e83 | B=ed34982 | Cin=1 | SUM=14d9806 | Cout=1
Test 361: PASS | A=524c390 | B=ea351a8 | Cin=0 | SUM=3c81538 | Cout=1
Test 362: PASS | A=272df93 | B=4bd5424 | Cin=0 | SUM=73033b7 | Cout=0
Test 363: PASS | A=6f1d975 | B=5cb58a3 | Cin=0 | SUM=cbd3218 | Cout=0
Test 364: PASS | A=bc4ca56 | B=637bb6f | Cin=0 | SUM=1fc85c5 | Cout=1
Test 365: PASS | A=d681238 | B=cd5a2a5 | Cin=1 | SUM=a3db4de | Cout=1
Test 366: PASS | A=45a1fa8 | B=0e2d7d6 | Cin=1 | SUM=53cf77f | Cout=0
Test 367: PASS | A=c77bddb | B=4b8ca56 | Cin=0 | SUM=1308831 | Cout=1
Test 368: PASS | A=0a44334 | B=337b0ef | Cin=0 | SUM=3dbf423 | Cout=0
Test 369: PASS | A=052073b | B=152ea7b | Cin=0 | SUM=1a4f1b6 | Cout=0
Test 370: PASS | A=2c5b2b3 | B=6ff95e3 | Cin=0 | SUM=9c54896 | Cout=0
Test 371: PASS | A=1b2bc10 | B=e52bf5f | Cin=1 | SUM=0057b70 | Cout=1
Test 372: PASS | A=4c177cd | B=cebc8c0 | Cin=1 | SUM=1ad408e | Cout=1
Test 373: PASS | A=3e2d4ff | B=62f399b | Cin=0 | SUM=a120e9a | Cout=0
Test 374: PASS | A=ebe5861 | B=9241385 | Cin=1 | SUM=7e26be7 | Cout=1
Test 375: PASS | A=45c9d7a | B=2d4cbf5 | Cin=0 | SUM=731696f | Cout=0
Test 376: PASS | A=9a40a6d | B=b24d497 | Cin=1 | SUM=4c8df05 | Cout=1
Test 377: PASS | A=0a63722 | B=b12d26e | Cin=1 | SUM=bb90991 | Cout=0
Test 378: PASS | A=79e777f | B=fdd1e11 | Cin=0 | SUM=77b9590 | Cout=1
Test 379: PASS | A=cf714f2 | B=3436169 | Cin=1 | SUM=03a765c | Cout=1
Test 380: PASS | A=20b76ee | B=cd66378 | Cin=1 | SUM=ee1da67 | Cout=0
Test 381: PASS | A=863ab8a | B=6ab1af0 | Cin=1 | SUM=f0ec67b | Cout=0
Test 382: PASS | A=58c9984 | B=d83c034 | Cin=0 | SUM=31059b8 | Cout=1
Test 383: PASS | A=02dafa2 | B=758b8a1 | Cin=1 | SUM=7866844 | Cout=0
Test 384: PASS | A=84c8dff | B=2d551cb | Cin=1 | SUM=b21dfcb | Cout=0
Test 385: PASS | A=25ddeff | B=a15e911 | Cin=1 | SUM=c73c811 | Cout=0
Test 386: PASS | A=26b3be4 | B=92cf6d6 | Cin=0 | SUM=b9832ba | Cout=0
Test 387: PASS | A=f7e02b4 | B=921e4e1 | Cin=0 | SUM=89fe795 | Cout=1
Test 388: PASS | A=4659ca3 | B=0c32812 | Cin=1 | SUM=528c4b6 | Cout=0
Test 389: PASS | A=ace7b6d | B=4ac5191 | Cin=0 | SUM=f7accfe | Cout=0
Test 390: PASS | A=a3d9cdc | B=8fcda7e | Cin=0 | SUM=33a775a | Cout=1
Test 391: PASS | A=1a3a84c | B=34aaca5 | Cin=1 | SUM=4ee54f2 | Cout=0
Test 392: PASS | A=4aecfa1 | B=38776da | Cin=0 | SUM=836467b | Cout=0
Test 393: PASS | A=5fb8f72 | B=7ec63ef | Cin=1 | SUM=de7f362 | Cout=0
Test 394: PASS | A=440da58 | B=92d3064 | Cin=0 | SUM=d6e0abc | Cout=0
Test 395: PASS | A=4c32f6d | B=2370f17 | Cin=1 | SUM=6fa3e85 | Cout=0
Test 396: PASS | A=354d705 | B=0189222 | Cin=1 | SUM=36d6928 | Cout=0
Test 397: PASS | A=4fae4b3 | B=6d2fc0d | Cin=0 | SUM=bcde0c0 | Cout=0
Test 398: PASS | A=ba7de0e | B=7d51ddb | Cin=0 | SUM=37cfbe9 | Cout=1
Test 399: PASS | A=5a910d2 | B=9ea7c25 | Cin=1 | SUM=f938cf8 | Cout=0
Test 400: PASS | A=a49ce72 | B=3c0e998 | Cin=0 | SUM=e0ab80a | Cout=0
Test 401: PASS | A=6a1f041 | B=1b85f9e | Cin=0 | SUM=85a4fdf | Cout=0
Test 402: PASS | A=4aa11af | B=96604c7 | Cin=1 | SUM=e101677 | Cout=0
Test 403: PASS | A=ba7ac93 | B=175ee43 | Cin=1 | SUM=d1d9ad7 | Cout=0
Test 404: PASS | A=d2d5803 | B=3d59e7a | Cin=0 | SUM=102f67d | Cout=1
Test 405: PASS | A=bf1c092 | B=495ea74 | Cin=1 | SUM=087ab07 | Cout=1
Test 406: PASS | A=3a91105 | B=0fc3756 | Cin=0 | SUM=4a5485b | Cout=0
Test 407: PASS | A=0466afb | B=0276767 | Cin=1 | SUM=06dd263 | Cout=0
Test 408: PASS | A=9bf89d1 | B=76a4c84 | Cin=1 | SUM=129d656 | Cout=1
Test 409: PASS | A=be0f03a | B=5392349 | Cin=1 | SUM=11a1384 | Cout=1
Test 410: PASS | A=b733cdf | B=e559dbf | Cin=0 | SUM=9c8da9e | Cout=1
Test 411: PASS | A=30b178f | B=59d89ab | Cin=1 | SUM=8a8a13b | Cout=0
Test 412: PASS | A=7c8d30a | B=3a206c9 | Cin=1 | SUM=b6ad9d4 | Cout=0
Test 413: PASS | A=42b9947 | B=bb42f6f | Cin=0 | SUM=fdfc8b6 | Cout=0
Test 414: PASS | A=2a5e8fc | B=ac50c67 | Cin=0 | SUM=d6af563 | Cout=0
Test 415: PASS | A=6d5d82d | B=48f7b7d | Cin=1 | SUM=b6553ab | Cout=0
Test 416: PASS | A=0fbf5b4 | B=38b1c94 | Cin=0 | SUM=4871248 | Cout=0
Test 417: PASS | A=f988049 | B=bafd427 | Cin=0 | SUM=b485470 | Cout=1
Test 418: PASS | A=5882302 | B=e9c7845 | Cin=1 | SUM=4249b48 | Cout=1
Test 419: PASS | A=a3a2c4e | B=8f2a1ae | Cin=1 | SUM=32ccdfd | Cout=1
Test 420: PASS | A=4d53632 | B=97bf515 | Cin=1 | SUM=e512b48 | Cout=0
Test 421: PASS | A=2800adc | B=becc9e9 | Cin=1 | SUM=e6cd4c6 | Cout=0
Test 422: PASS | A=6177491 | B=aff6860 | Cin=1 | SUM=116dcf2 | Cout=1
Test 423: PASS | A=97d3d38 | B=12a7850 | Cin=0 | SUM=aa7b588 | Cout=0
Test 424: PASS | A=e88c20a | B=0202e7b | Cin=0 | SUM=ea8f085 | Cout=0
Test 425: PASS | A=b830f43 | B=68974a8 | Cin=1 | SUM=20c83ec | Cout=1
Test 426: PASS | A=9006d1e | B=f7b659b | Cin=1 | SUM=87bd2ba | Cout=1
Test 427: PASS | A=1e93b30 | B=d1ad80c | Cin=0 | SUM=f04133c | Cout=0
Test 428: PASS | A=be7e16f | B=0ab4a3a | Cin=0 | SUM=c932ba9 | Cout=0
Test 429: PASS | A=b78edec | B=25b2c12 | Cin=1 | SUM=dd419ff | Cout=0
Test 430: PASS | A=092c182 | B=4c0fbfc | Cin=0 | SUM=553bd7e | Cout=0
Test 431: PASS | A=ea8b62d | B=7ecff84 | Cin=1 | SUM=695b5b2 | Cout=1
Test 432: PASS | A=209535c | B=3196c8c | Cin=0 | SUM=522bfe8 | Cout=0
Test 433: PASS | A=468d137 | B=28ceb78 | Cin=1 | SUM=6f5bcb0 | Cout=0
Test 434: PASS | A=66003f7 | B=3c6993e | Cin=0 | SUM=a269d35 | Cout=0
Test 435: PASS | A=38e7c2c | B=96eb79c | Cin=0 | SUM=cfd33c8 | Cout=0
Test 436: PASS | A=17cd1df | B=3bd911c | Cin=0 | SUM=53a62fb | Cout=0
Test 437: PASS | A=2150f5d | B=d887c60 | Cin=0 | SUM=f9d8bbd | Cout=0
Test 438: PASS | A=a045d12 | B=3145ee3 | Cin=1 | SUM=d18bbf6 | Cout=0
Test 439: PASS | A=7e88b22 | B=e3450fa | Cin=1 | SUM=61cdc1d | Cout=1
Test 440: PASS | A=15c3657 | B=6f0a27d | Cin=0 | SUM=84cd8d4 | Cout=0
Test 441: PASS | A=024691d | B=3deff20 | Cin=0 | SUM=403683d | Cout=0
Test 442: PASS | A=100895d | B=04963db | Cin=1 | SUM=149ed39 | Cout=0
Test 443: PASS | A=dd5d214 | B=b65b5ed | Cin=1 | SUM=93b8802 | Cout=1
Test 444: PASS | A=8e0375b | B=f0060e2 | Cin=1 | SUM=7e0983e | Cout=1
Test 445: PASS | A=40da662 | B=f74fc02 | Cin=1 | SUM=382a265 | Cout=1
Test 446: PASS | A=1c27088 | B=ee47714 | Cin=1 | SUM=0a6e79d | Cout=1
Test 447: PASS | A=cc1cfa5 | B=9ddbe82 | Cin=1 | SUM=69f8e28 | Cout=1
Test 448: PASS | A=7b5878f | B=d348cc5 | Cin=1 | SUM=4ea1455 | Cout=1
Test 449: PASS | A=a0aad48 | B=513d960 | Cin=1 | SUM=f1e86a9 | Cout=0
Test 450: PASS | A=8a0d12a | B=8d9f85a | Cin=1 | SUM=17ac985 | Cout=1
Test 451: PASS | A=02e4f4a | B=70d8197 | Cin=1 | SUM=73bd0e2 | Cout=0
Test 452: PASS | A=f11b8db | B=eaa70f6 | Cin=1 | SUM=dbc29d2 | Cout=1
Test 453: PASS | A=3172b54 | B=bed52e7 | Cin=1 | SUM=f047e3c | Cout=0
Test 454: PASS | A=e97d0b8 | B=9194e19 | Cin=1 | SUM=7b11ed2 | Cout=1
Test 455: PASS | A=a37026a | B=dae4076 | Cin=0 | SUM=7e542e0 | Cout=1
Test 456: PASS | A=0c17fdd | B=1d72cce | Cin=0 | SUM=298acab | Cout=0
Test 457: PASS | A=dcb080e | B=8933bc6 | Cin=0 | SUM=65e43d4 | Cout=1
Test 458: PASS | A=32594ae | B=7625e38 | Cin=1 | SUM=a87f2e7 | Cout=0
Test 459: PASS | A=695520b | B=9a724d7 | Cin=1 | SUM=03c76e3 | Cout=1
Test 460: PASS | A=cbb0138 | B=cfa63d5 | Cin=1 | SUM=9b5650e | Cout=1
Test 461: PASS | A=d702f56 | B=633ac72 | Cin=0 | SUM=3a3dbc8 | Cout=1
Test 462: PASS | A=7aa5950 | B=958ece9 | Cin=1 | SUM=103463a | Cout=1
Test 463: PASS | A=b94894d | B=45ae9f0 | Cin=0 | SUM=fef733d | Cout=0
Test 464: PASS | A=278c4fa | B=7105419 | Cin=0 | SUM=9891913 | Cout=0
Test 465: PASS | A=40ba496 | B=b523f32 | Cin=0 | SUM=f5de3c8 | Cout=0
Test 466: PASS | A=a6da9fa | B=d265768 | Cin=0 | SUM=7940162 | Cout=1
Test 467: PASS | A=27fec24 | B=af84660 | Cin=1 | SUM=d783285 | Cout=0
Test 468: PASS | A=48fd7f2 | B=fa3b58c | Cin=0 | SUM=4338d7e | Cout=1
Test 469: PASS | A=36048d6 | B=61010df | Cin=0 | SUM=97059b5 | Cout=0
Test 470: PASS | A=e9d46a9 | B=479d385 | Cin=0 | SUM=3171a2e | Cout=1
Test 471: PASS | A=6f52a55 | B=56e51e7 | Cin=1 | SUM=c637c3d | Cout=0
Test 472: PASS | A=4f7ebe7 | B=5c1b060 | Cin=1 | SUM=ab99c48 | Cout=0
Test 473: PASS | A=d15ace9 | B=a37c6bd | Cin=1 | SUM=74d73a7 | Cout=1
Test 474: PASS | A=0dafa58 | B=f74cef2 | Cin=1 | SUM=04fc94b | Cout=1
Test 475: PASS | A=dfc0ef9 | B=b042c3d | Cin=1 | SUM=9003b37 | Cout=1
Test 476: PASS | A=ee12960 | B=967b05e | Cin=1 | SUM=848d9bf | Cout=1
Test 477: PASS | A=fa9fb31 | B=99717a4 | Cin=1 | SUM=94112d6 | Cout=1
Test 478: PASS | A=8877f39 | B=da2d7f4 | Cin=1 | SUM=62a572e | Cout=1
Test 479: PASS | A=56adc41 | B=2a2f389 | Cin=1 | SUM=80dcfcb | Cout=0
Test 480: PASS | A=d8cf5f4 | B=8c74df0 | Cin=1 | SUM=65443e5 | Cout=1
Test 481: PASS | A=05b147a | B=fd5ae9e | Cin=1 | SUM=030c319 | Cout=1
Test 482: PASS | A=ce91c13 | B=be7ffb9 | Cin=1 | SUM=8d11bcd | Cout=1
Test 483: PASS | A=dd242d3 | B=5245187 | Cin=0 | SUM=2f6945a | Cout=1
Test 484: PASS | A=bfd17fa | B=2e2e468 | Cin=0 | SUM=edffc62 | Cout=0
Test 485: PASS | A=e683793 | B=6300146 | Cin=1 | SUM=49838da | Cout=1
Test 486: PASS | A=15b57e9 | B=6474246 | Cin=1 | SUM=7a29a30 | Cout=0
Test 487: PASS | A=113de93 | B=c139f13 | Cin=0 | SUM=d277da6 | Cout=0
Test 488: PASS | A=0d6fddf | B=380817d | Cin=1 | SUM=4577f5d | Cout=0
Test 489: PASS | A=f370ecd | B=ae6ed25 | Cin=1 | SUM=a1dfbf3 | Cout=1
Test 490: PASS | A=1b64ffe | B=1acbe6c | Cin=1 | SUM=3630e6b | Cout=0
Test 491: PASS | A=a16a2f7 | B=a0c34a4 | Cin=1 | SUM=422d79c | Cout=1
Test 492: PASS | A=54965a5 | B=73fc070 | Cin=1 | SUM=c892616 | Cout=0
Test 493: PASS | A=42320ff | B=58cbf9b | Cin=0 | SUM=9afe09a | Cout=0
Test 494: PASS | A=3e0eb98 | B=2822196 | Cin=0 | SUM=6630d2e | Cout=0
Test 495: PASS | A=20ceb53 | B=90339d8 | Cin=1 | SUM=b10252c | Cout=0
Test 496: PASS | A=b7f5b18 | B=30afa23 | Cin=0 | SUM=e8a553b | Cout=0
Test 497: PASS | A=62c041a | B=2a304bc | Cin=1 | SUM=8cf08d7 | Cout=0
Test 498: PASS | A=97f9b86 | B=888c85a | Cin=1 | SUM=20863e1 | Cout=1
Test 499: PASS | A=5e352e2 | B=46a3e28 | Cin=0 | SUM=a4d910a | Cout=0
============================================
Total Tests : 500
PASS         : 500
FAIL         : 0
============================================
✅ ALL TESTS PASSED!
- SUM_unit/tb_SUM_unit.sv:82: Verilog $finish
- S i m u l a t i o n   R e p o r t: Verilator 5.024 2024-04-05
- Verilator: $finish at 500ns; walltime 0.005 s; speed 0.000 s/s
- Verilator: cpu 0.000 s on 1 threads; alloced 57 MB
